CLAIM_ID,MISSION,CLAIM,CLAIM_TYPE,COMMIT_SHA,COMMIT_TREE,ORIGINAL_EVIDENCE_PATH,ORIGINAL_EVIDENCE_EXISTS,ARTIFACT_SHA256,REPRODUCIBLE_FROM_COMMIT,RETROACTIVE_REPRODUCTION_PATH,STATUS,CAVEATS
RES-5_V2_1_HONEST_FALL,RES-5,Horizontal root vertical catch removed; honest fall via 6 fall-shell capsules; mass/inertia preserved; pre-limit equivalence PASS,STATUS PASS,6f03dad235ec553656da575ef3713307121cf90c,8be08fa92eee83962e6eb3d1176c879c48da2d77,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES5-HONEST-FALL-MECHANICS-20260829,YES,e2e4d7a9...,YES (determinism PASS, fresh replay root 0 after fix),/tmp/repro_res5_standing.py,ORIGINAL_EVIDENCE_VERIFIED,"Root limit forensics complete (peak 7177 N impulse 308 N·s); fall-shell first contact 3.213 s after equivalence window; no silent mass change; MuJoCo 3.8.0 times shifted but baseline≡corrected before limit"
RES-6_V2_1_COMPLIANT_CONTACT,RES-6,Contact calibrated solref 0.004→0.016 via 6-point ladder; primary peak 5.05 BW time-to-peak 8 ms; penetration ≤0.010; impulse residual <1%,STATUS PASS,818985a320841071e6876c730eae46e924341db3,7d8ce939124b119e0f56c867450f5457da467a63,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES6-COMPLIANT-LANDING-CONTACT-20260829,YES,cf164bde...,YES (replay with static MJCF 0.016 identical; 14/14 tests PASS),/tmp/repro_res6_ladder.py,ORIGINAL_EVIDENCE_VERIFIED,"Calibrated via offline geom_solref mutation (official mjENBL_OVERRIDE not used); static MJCF is authority; compliant landing later requalified after RES-7/8"
RES-7_V2_1_EVENT_DAG,RES-7,Sequential monotone 12-gate DAG with dwell/hysteresis; fall terminal; thresholds unchanged (ce6473f); telemetry frozen,STATUS PASS,3542d49e906c1e17932c696a354eb1e6f71c8e17,5fbd82d6d7ffc0b7428f073699aca62151d8fed6,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES7-EVENT-DAG-TELEMETRY-20260829,YES,ce6473f...,YES (old vs new PHYSICS_IDENTITY PASS; event records 9 events before recovery),/tmp/repro_res7_events.py,ORIGINAL_EVIDENCE_VERIFIED,"Threshold manifest unchanged (verified SHA); DAG preserves RES-5/6 frontier; V2EventDetector single owner; no threshold invention"
RES-8_V2_1_CAPTURED_SQUAT,RES-8,Capture from deepest valid pre-reversal (0.54175) to target [-0.64 0.45 1.40 0.53] with staged gains (prep ζ0.80 impact ζ1.00 capture ζ1.10); E10 2.321/E11 2.785 landing capture before recovery,STATUS PASS,63d18e0afad72fcb1756f3e32048fc636933b9a0,6d31ee055b7078cf4571c6e02f65922aae90580f,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES8-CAPTURED-SQUAT-LANDING-20260830,YES,71a0d045...,YES (18/18 capture, peak 6.26 BW pen 9.16 mm no reflight; determinism PASS),/tmp/repro_res8_capture.py,ORIGINAL_EVIDENCE_VERIFIED,"Gains derived Kd=2ζ√(Kp·Ieff) with Ieff from mj_fullM at capture (7.75/1.81/...); static hold utilization 0.374; feedforward -59/-10/14/8 Nm; standing vs capture envelopes disjoint verified"
RES-16_V2_1_TRUE_STANDING_SCORER,RES-16,Insufficient old E12 (allowed deep squat) replaced by true-standing predicate; envelope from 15200-sample HOLD median [0.10-2.0]; CONTRACT 2.1-true-standing-recovery-v1 (01e89ac0),STATUS PASS,91b79a511352ea6f517fa781e8d9a07912b8d0d9,49a840e0c82f64903e43d66daca6b46179be463a,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES16-TRUE-STANDING-SCORER-20260830,YES,01e89ac03...,YES (15200/15200 true; 1.9 s dwell; RES8 physics identity PASS),/tmp/repro_res16_envelope.py,ORIGINAL_EVIDENCE_VERIFIED,"Old E12 3.001→3.501 in squat now correctly rejected; new envelope requires Q/COM_Z/ROOT_Z/TRUNK inside ±1 ULP plus bilateral/no-fall; E1-E11 manifest unchanged (2f830de...); later invalidated by RES-42 zero damping (old envelope 13931/15200 →1269 fail)"
RES-31_V2_1_HONEST_PLANAR_ROOT,RES-31,Remove artificial sagittal root limits (tx [-1 1] ry [-0.52 0.52] → limited=false); MATERIAL_SUPPORT proven (8076 N/1190 N·m) before; 0 rows after; pre-limit equivalence PASS,STATUS PASS,fa2a8f642326e1e1a206bbcc02a4b9e0ae4b3f49,e2e94a2aa7bef0c25f335650fcd058747212d1c8,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES31-HONEST-PLANAR-ROOT-20260901,YES,5f2244149...,YES (post-fix 0 rows; standing still supports; capture pose flagged stale 1.000355>1.0),/tmp/repro_res31_limits.py,ORIGINAL_EVIDENCE_VERIFIED,"11/12 INCOMPLETE_HORIZON dam deterministic after fix (fabricated 12/12 correctly flagged stale); root now honestly floating (verified unlimited 3/3); mass/inertia/forceplate preserved; pre-limit 0.0 diff before 0.64875"
RES-42_V2_1_ZERO_ROOT_DAMPING,RES-42,Remove world-anchored root damping (10 10 5 → 0 0 0); MATERIAL damped support quantified (impulse -10/+7 N·s angular 6.65 N·m·s work -1915 J) before; 0 after; standing envelope invalidated old E12,STATUS PASS,87088298139f9b34418c573e8a05af58eed6fcc0,d8ecb088c0bccd7de40c8fe6cc32bad6e35dcedd,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES42-ZERO-ROOT-DAMPING-20260901,YES,5f2244149...,YES (compiled model damping 0; mass/topology/contact identity PASS; frozen-controller frontier impact_absorption 10/12),/tmp/repro_res42_damping.py,ORIGINAL_EVIDENCE_VERIFIED,"Old true-standing envelope invalidated (OLD_TRUE_STANDING_REFERENCE_STILL_VALID=NO 13931→1269); frozen controller fails at balance_capture (1.703 s); centroidal moment residual quantified; next requires RES-43 rebase"
RES-43_V2_1_TRUE_STANDING_REBASE,RES-43,Re-derive true-standing envelope on zero-damping honest plant; new CONTRACT 2.1-true-standing-zero-root-damping-v2 (8b90eea8) from 15200-sample median; old CONTRACT correctly invalidated,STATUS PASS,9d97bc5cc012d7fd0409a811280a5bad300ecc30,efe0c3c85115f57248dc0481e84ec82c7cb534c4,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES43-TRUE-STANDING-REBASE-20260901,YES,8b90eea81...,YES (new dwell 1.9 s PASS; 8/8 negative predicate tests PASS; E1-E11 manifest unchanged 2f830de),/tmp/repro_res43_rebase.py,ORIGINAL_EVIDENCE_VERIFIED,"Plant hash 5f22441 damping 0 limit 0 mass 95 verified; controller identity e6cd238...; contact solref 0.016; frozen controller still impact_absorption (10/12 fall 1.703 s) — not sealed recovery"
RES10_R5A2_HONEST_TAKEOFF,RES-10 (R5A2),Optimize supported-phase residual (16 params 4×[0 0.2 0.4 0.6]) for honest in-place takeoff on zero-limit zero-damping plant; vz 1.09→1.16 vx 0.227→0.149 Hy 4.91→5.33 pitch 0.626→0.501 rate -4.45→-0.02 drift 0.00076 E1-E8 PASS,STATUS PASS,39959674930e55d02b0f47cb1f04d59040cd7896,af39a221f1904bacd99493541203e9084f9b6cbb,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES10-R5A2-HONEST-TAKEOFF-20260902,YES (FINAL_RECEIPT.json),8a7c06c74...,YES (RUN1==RUN2==POSTCOMMIT 8a7c06c7 24 tests 1 expected damping mismatch; 0 root limits; flight Hy residual 7.6e-04),/tmp/repro_r5a2_launch.py,ORIGINAL_EVIDENCE_VERIFIED,"SLSQP+hill climbing 16 params warm start 0; 2 solver runs; centroidal Hy method A/B max residual 1.68e-14 verified; landing blocked patch preserved (not staged) classified 0 UNKNOWN; next authorized: requalify landing/capture from this sealed launch"
RES10_R5A3_HYPOTHETICAL,RES-10 (R5A3),R5A3 landing/capture requalification from R5A2 sealed launch,STATUS EXPECTED BUT NOT EVIDENCED,,,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES10-R5A3* (DOES NOT EXIST),NO,,,NO,EVIDENCE_MISSING,"No evidence directory or receipt located for R5A3; R5A2 FINAL_RECEIPT declares NEXT_ACTION requalify landing/capture but no bundle was produced; claim cannot be adjudicated"
