SOURCE_ID,FULL_CITATION,DOI_PMID_OR_STANDARD,SOURCE_TYPE,POPULATION,TASK,LOAD,MEASUREMENT_SYSTEM,VARIABLE,DEFINITION,THRESHOLD_IF_ANY,METHOD,UNCERTAINTY_OR_RELIABILITY,APPLICABILITY_TO_OUR_TASK,LIMITATIONS,DIRECTLY_SUPPORTS_NUMERIC_GATE,NOTES
S01,"Eythorsdottir I, Gloersen O, Rice H, Werkhausen A, Ettema G, Mentzoni F, Solberg P, Lindberg K, Paulsen G. The Battle of the Equations: A Systematic Review of Jump Height Calculations Using Force Platforms. Sports Medicine 2024;54(11):2771-2791.",PMID 39425876; DOI 10.1007/s40279-024-02098-x,Systematic review,Healthy participants across CMJ/SJ/DJ/loaded-jump studies,Vertical jump testing on force platforms,Includes loaded jumps,Force platform,Jump height equation families,"Four commonly used equations in two families: two defined from takeoff, two from standing",No threshold; equation choice can change jump height by up to ~15 cm on the same jump,PRISMA systematic review; 16 included papers,Reported variation up to ~15 cm across equations,High for definitional structure: qualifies jump-height names and supports the method-qualified naming rule,Human force-platform processing; does not define a simulation-truth displacement and provides no task floor,NO,Basis for PRIMARY_CANONICAL_JUMP_HEIGHT adjudication and the prohibition of unqualified 'jump height'
S02,"Eythorsdottir I, Gloersen O, Rice H, Werkhausen A, Ettema G, Solberg P, Paulsen G. Navigating the Data Processing Maze: A Systematic Review of Jump Height Calculations Using Force Platforms. European Journal of Sport Science 2026;26(1).",PMID 41672931; DOI 10.1002/ejsc.70114 (Europe PMC DOI resolution confirmed 2026-09-13; see citation_resolution.json),Systematic review,"Healthy participants, force-platform vertical jump testing",Data processing for jump height,Not specific,Force platform,"Processing steps: sampling, filtering, averaging, integration, take-off threshold, gravity constant",Effect of each processing decision on jump-height estimate,Effects from <0.5% to >25%,Systematic review,Up to 26% change from filtering alone,Justifies preferring direct model-truth COM displacement (processing-independent) as primary and treating force-derived quantities as comparability metrics,No absolute thresholds; human processing focus,NO,Supports CG-05/CG-06 diagnostics and compare-with-caution rules
S03,"Xu J, Turner A, Comfort P, Harry JR, McMahon JJ, Chavda S, Bishop C. A Systematic Review of the Different Calculation Methods for Measuring Jump Height During the Countermovement and Drop Jump Tests. Sports Medicine 2023;53(5):1055-1072.",PMID 36940054; DOI 10.1007/s40279-023-01828-x,Systematic review,Healthy adults,CMJ and drop jump,Unloaded predominantly,"Force platform, motion capture, jump mats","Jump-height calculation methods (IM, FT, double integration, jump-and-reach)",Method-specific COM-height definitions,None,"Systematic review, 21 articles, quality scoring",Impulse-momentum preferred for takeoff-to-apex; double integration preferred for standing-to-apex,Direct support for choosing direct takeoff-to-apex displacement as primary and reporting standing-to-apex as context,Human methods; no simulation COU,NO,Method recommendation corroborates the primary/cross-check split
S04,"Smith JC, Lamont HS, Barefoot M. Comparison of Different Take-off Thresholds When Assessing Vertical Jump Performance. International Journal of Exercise Science 2024;17(1):660-668.",PMID 38863789; DOI 10.70252/QBUA4521 (Europe PMC resolution confirmed 2026-09-13; see citation_resolution.json),Primary experimental study,"21 participants, CMJ",Countermovement vertical jump,Unloaded,Force platform,"Take-off thresholds (20, 10, 5, 1 N, 5SD, PkRes) vs JH, MT, RSImod, netIMP, prIMP",Take-off = force crossing the declared threshold,"Thresholds tested: 20 N, 10 N, 5 N, 1 N, 5SD, PkRes",Repeated measures; ICC and CV,ICC >= 0.835; CV < 10%; differences trivial by effect size but statistically significant,Establishes that force-threshold choice is a declared comparability convention; supports reporting threshold sensitivity; does not justify using a threshold as physical truth in simulation,Human signal noise context; threshold selection matched to PkRes; not a simulation contact-truth study,NO,"F_thr candidate 10 N is a comparability convention (OD-09); sensitivity set {1,5,10,20 N, noise} required"
S05,"Barefoot M, Lamont H, Smith JC. Comparison of the Reliability of Four Different Movement Thresholds When Evaluating Vertical Jump Performance. Sports (Basel) 2022;10(12):193.",PMID 36548490; DOI 10.3390/sports10120193,Primary experimental study,21 college-aged participants,CMJ and SJ,Unloaded,Force platform,"Movement-initiation thresholds (5SD, 4SD, 2.5%SW, 10%SW)",Movement onset as force deviation from baseline,"5SD, 4SD, 2.5%SW, 10%SW",Repeated measures reliability,Reliability varies by threshold and variable,Informs countermovement-onset measurement alternatives; supports declaring onset thresholds rather than assuming one,Unloaded; initiation only,NO,E2 onset uses COM-vz (model truth); force-deviation onset remains an experimental comparability option
S06,"Perez-Castilla A, Rojas FJ, Garcia-Ramos A. Reliability and magnitude of loaded countermovement jump performance variables: a technical examination of the jump threshold initiation. Sports Biomechanics 2022;21(5):622-636.",PMID 31711369; DOI 10.1080/14763141.2019.1682649,Primary experimental study,17 males,Loaded CMJ (17-30-45-60-75 kg),Loaded (17-75 kg),Force platform,Starting threshold effects on reliability/magnitude of loaded-CMJ variables,"Initiation = first instant vGRF falls below system weight by 10 N, 50 N, 1%SW, 10%SW, 5SDSW","10 N, 50 N, 1%SW, 10%SW, 5SDSW minus 30 ms","Two sessions, five loads, CV/ICC comparisons","50 N, 10%SW, 5SDSW more reliable than 10 N and 1%SW especially eccentric-phase variables",Direct loaded-CMJ threshold evidence: the loaded condition changes which temporal variables are sensitive to threshold choice; supports declaring the convention and reporting sensitivity,Human force signal; no physical-truth contact geometry; not a task-success contract,NO,"Seeded reference verified; magnitudes differ significantly across thresholds, reinforcing comparability-only status"
S07,"Garcia-Ramos A, Jaric S, Perez-Castilla A, Padial P, Feriche B. Reliability and magnitude of mechanical variables assessed from unconstrained and constrained loaded countermovement jumps. Sports Biomechanics 2017;16(4):514-526.",PMID 28632047; DOI 10.1080/14763141.2016.1246598,Primary experimental study,Trained participants,Loaded CMJ constrained vs unconstrained,Loaded,Force platform,Mechanical variables reliability/magnitude,Loaded-jump variable set,None,Reliability study,Variable-dependent,Supports treating loaded-CMJ metrics as measurement-dependent and declaring definitions precisely,Human; no simulation,NO,Context for metric-definition rigor
S08,"Kraska JM, Ramsey MW, Haff GG, Fethke N, Sands WA, Stone ME, Stone MH. Relationship between strength characteristics and unweighted and weighted vertical jump height. International Journal of Sports Physiology and Performance 2009;4(4):461-473.",PMID 20029097; DOI 10.1123/ijspp.4.4.461,Primary experimental study,63 collegiate athletes (19.9 +/- 1.3 y; 72.9 +/- 19.6 kg),SJ and CMJ at 0 kg and 20 kg,0 kg and 20 kg external,Force platform; jump height from flight time,CMJ jump height 0 kg vs 20 kg; percent decrease,Flight-time jump height for CMJ with/without 20 kg,"0 kg CMJ group means: strong 33.53 +/- 10.75 cm, weak 28.27 +/- 6.34 cm; 20 kg CMJ strong group 27.57 +/- 8.64 cm; 20 kg weak-stratum mean NOT directly reported; SJ percent decrease with 20 kg: strong 17.79 +/- 3.44% vs weak 30.40 +/- 7.8% (basis for the derived weak-stratum estimate)","Force-plate testing, flight-time JH, isometric strength correlations",SDs reported; flight-time method carries assumed symmetric takeoff/landing posture,Primary evidence that a 20 kg loaded CMJ by adult male athletes is a 20-30 cm-scale movement; the weak-stratum 20 kg mean is derived (not reported) as ~19-20 cm by applying the weak group SJ decrease to its 0 kg mean; supports PF-1 (0.15 m) as a conservative task-plausibility bound with a disclosed cross-family (flight-time vs direct-COM) limitation,Flight-time method; collegiate athletes not a general population; no direct COM displacement; load was a 20 kg bar in trained subjects,YES,"PF-1 candidate floor anchor (OD-01). The floor is a task definition, not a population percentile. Weak-stratum 20 kg value derived, not reported (independent review OF-1)"
S09,"Leontijevic B, Pazin N, Bozic PR, Kukolj M, Ugarkovic D, Jaric S. Effects of loading on maximum vertical jumps: selective effects of weight and inertia. Journal of Electromyography and Kinesiology 2012;22(2):286-293.",PMID 22209596; DOI 10.1016/j.jelekin.2011.12.002,Primary experimental study,15 male college students,Maximum CMJ with arm swing,"10-40% body mass as weight, weight+inertia, inertia",Force platform + pulley/vest loading,Jumping performance (peak velocity) and GRF vs load type/magnitude,Selective W / W+I / I loading effects,10-40% body mass range,Two-way repeated measures ANOVA,Reliability previously established high across loads,Supports the expectation that a 20 kg load reduces jump performance but preserves the CMJ pattern at these relative loads; the load is 21% of system mass in our task,Peak velocity not jump height; arm swing; healthy active non-athletes,NO,Context for performance-floor plausibility and loaded-task interpretation
S10,"McErlain-Naylor S, King M, Pain MTG. Determinants of countermovement jump performance: a kinetic and kinematic analysis. Journal of Sports Sciences 2014;32(19):1805-1812.",PMID 24875041; DOI 10.1080/02640414.2014.924055,Primary experimental study,18 males of varying jumping experience,CMJ,Unloaded,2-D motion capture + force platform,CMJ height and technique determinants,CMJ height range and predictors,CMJ height range 0.38-0.73 m; mean 0.55 +/- 0.09 m,Kinetic/kinematic regression,Variation across participants,Context only: unloaded adult male CMJ magnitudes bracket the expected loaded deformation of performance,Unloaded; wide range; not loaded athletes,NO,Context only for PF-1; NO numeric gate value is taken from this source (corrected by independent literature review OF-2)
S11,"Kyne H, Cronin JB. Beyond Jump Height: A Comparison of Concentric Variables in the Squat Jump, Countermovement Jump and Drop Jump for Athletic Profiling. Sports (Basel) 2025;13(11):379.",PMID 41295762; DOI 10.3390/sports13110379,Primary experimental study,23 male athletes (18.1 +/- 0.7 y),"SJ, CMJ, DJ",Unloaded,Force platform,Jump height across jump types,CMJ height 37.8 +/- 4.1 cm; SJ 34.6 +/- 4.4; DJ 31.9 +/- 5.0,None,Within-subject comparison,SDs reported,Corroborates CMJ magnitude scale in young male athletes,Unloaded; small sample,NO,Corroborative context for PF-1
S12,"Cabarkapa D, Smith R, Chowning L, Neltner T, Johnson QR, Yang Y, Munce TA. Reliability of Vertical Jump Force-Time Metrics in Collegiate Athletes Compared to Recreationally Active Individuals. Life (Basel) 2025;15(12):1830.",PMID 41465769; DOI 10.3390/life15121830,Primary experimental study,39 NCAA D-I athletes and 35 non-athletes,CMJ without arm swing,Unloaded,"Portable dual force plate, 1000 Hz","Reliability of force-time metrics incl. jump height, countermovement depth, peak landing force",Jump height 38.6 +/- 9.9 cm; countermovement depth 32.5 +/- 7.1 cm; peak landing force 4149-4474 N; SEM/MDC reported (jump height SEM 0.91 cm; depth SEM 1.73 cm),"Reliability classes: CV < 10%, ICC > 0.750 good-excellent",Test-retest reliability,SEM/MDC reported for key metrics,Provides measurement uncertainty context for performance and landing quantities; supports required reporting of SEM/MDC-like sensitivity in later RES,Unloaded; portable system; healthy participants,NO,Context for measurement realism; countermovement depth in humans is far larger than the current 0.10 m candidate (OD-07 deferred)
S13,"Anicic Z, Janicijevic D, Knezevic OM, Garcia-Ramos A, Petrovic MR, Cabarkapa D, Mirkov DM. Assessment of Countermovement Jump: What Should We Report? Life (Basel) 2023;13(1):190.",PMID 36676138; DOI 10.3390/life13010190,Primary experimental study / methodological,79 physically active participants,CMJ,Unloaded,Force platform,45 CMJ metrics reliability; PCA factors,Reliable metric set (CV <= 10%),CV <= 10% acceptance; 24 of 45 metrics acceptable; performance CV 4.2-11.1%,Test-retest + PCA,Reported per metric,Supports disciplined metric selection and retention; performance metrics are the most reliable class; informs canonical schema discipline,Unloaded; human measurement noise,NO,Supports HIGH-013 closure (retain all required metrics)
S14,"Merrigan JJ, Strang A, Eckerle J, Mackowski N, Hierholzer K, Ray NT, Smith R, Hagen JA, Briggs RA. Countermovement Jump Force-Time Curve Analyses: Reliability and Comparability Across Force Plate Systems. Journal of Strength and Conditioning Research 2024;38(1):30-37.",PMID 37815253; DOI 10.1519/JSC.0000000000004586,Primary experimental study,22 subjects,CMJ across three commercial systems,Unloaded,"ForceDecks, Hawkin Dynamics, Sparta Science","Cross-system agreement: jump height, impulses, RFD, mRSI",Metric definitions differ across systems,CCC 0.85-0.95 for jump height; poor test-retest for mRSI/RFD,Cross-system agreement,Systematic/proportionate bias for some metrics,Justifies declaring one metric definition per quantity and forbidding cross-definition comparisons,Commercial systems; human,NO,Supports naming/method-qualifier discipline
S15,"Niu W, Feng T, Jiang C, Zhang M. Peak vertical ground reaction force during two-leg landing: a systematic review and mathematical modeling. BioMed Research International 2014;2014:126860.",PMID 25243113; DOI 10.1155/2014/126860,Systematic review + modeling,26 pooled studies,Two-leg drop landing,Drop heights,Force platform,Peak vGRF vs drop height,Square-root relation between pooled peak vGRF and drop height,No task threshold; conveys landing-force scale and drop-height dependence,Systematic review + regression modeling,"Pooled across studies; moderators (sex, surface, shoes, frequency)",Landing force is a meaningful physical quantity scaled by drop height; supports keeping peak Fz / BW and loading-rate as diagnostic/layer metrics rather than primary task gates,Drop landing from box heights differs from CMJ landing; no CMJ-specific threshold,NO,"L4-G6 8 BW retained as project historical hard rule, not from this source"
S16,"Davis DJ, Hinshaw TJ, Critchley ML, Dai B. Mid-flight trunk flexion and extension altered segment and lower extremity joint movements and subsequent landing mechanics. Journal of Science and Medicine in Sport 2019;22(8):955-961.",PMID 30902539; DOI 10.1016/j.jsams.2019.03.001,Primary experimental study,41 participants,Jump-landing with mid-flight trunk motion (reach forward/up/back),Unloaded,Whole-body kinematics + force platform,Trunk/pelvis/leg COM positions and joint kinematics at initial contact and 100 ms after,Mid-flight trunk posture changes landing hip/knee/ankle configuration and moments,No threshold; direction-dependent effects,Randomized within-subject,Group-level effects,Establishes trunk-pelvis-lower-limb coupling: landing capture cannot be defined by COM vertical velocity alone; supports whole-body landing gates (HIGH-001),Unloaded jump-landing; not a loaded bilateral CMJ; no numeric bounds transferable,NO,"Mission seed cited as 'Dai et al.'; verified first author is Davis DJ, senior author Dai B"
S17,"Blackburn JT, Padua DA. Influence of trunk flexion on hip and knee joint kinematics during a controlled drop landing. Clinical Biomechanics 2008;23(3):313-319.",PMID 18037546; DOI 10.1016/j.clinbiomech.2007.10.003,Primary experimental study,40 healthy individuals,"Drop landing, preferred vs actively flexed trunk",Unloaded,Motion capture,"Trunk, hip, knee flexion kinematics","Peak trunk flexion 47 deg greater in flexed condition, with +31 deg hip flexion and +22 deg knee flexion",No threshold,Within-subject,p < 0.001 for reported comparisons,Trunk flexion is coupled to hip/knee flexion and is a normal/beneficial landing strategy; therefore L4 trunk-pitch bounds must not criminalize flexion per se; the defect is uncaptured forward translation/rotation,Drop landing; no load; kinematic coupling only,NO,Shapes L4-T5 rationale
S18,"Blackburn JT, Padua DA. Sagittal-plane trunk position, landing forces, and quadriceps electromyographic activity. Journal of Athletic Training 2009;44(2):174-179.",PMID 19295962; DOI 10.4085/1062-6050-44.2.174,Primary experimental study,"40 healthy volunteers (20 men, 20 women)",Drop landing preferred vs flexed trunk,Unloaded,Force platform + EMG,Peak vertical/posterior GRF and quadriceps EMG,Trunk flexion decreases vGRF and quadriceps activity,No threshold,2x2 repeated measures,p < 0.001; no sex interaction,Landing posture affects load magnitude; supports treating trunk posture as a task variable with bounds not derived from ACL-risk claims,Unloaded drop landing; no numeric bounds,NO,L4-T5 context; no clinical threshold import
S19,"Chen Y, Zheng S, Yu L, Xue X, Wang Z, Sun Y, Hua Y. Assessment of Landing Stability in Patients After Anterior Cruciate Ligament Injury and Reconstruction: A Systematic Review and Meta-analysis. Sports Health 2026;18(1).",PMID 41017646; DOI 10.1177/19417381251372976,Systematic review / meta-analysis (Level 4),ACLI/ACLR patients vs controls (11 studies),Jump-landing stabilization,Unloaded,Force platform,TTS and DPSI methods and group differences,TTS = time to return within a stabilization band; DPSI = normalized GRF variance over post-impact window,No universal threshold; method parameters vary across studies,Systematic review + meta-analysis,AP SMD 0.438; vertical SMD 0.656 for ACLI/ACLR vs controls,"Informs capture structure (sustained window, directional components, relative-to-quiet-stance logic); clinical thresholds are NOT transferred to this simulation COU",Patient populations; single-leg/hop tasks; heterogeneity; not a deterministic simulation,NO,Seeded review verified
S20,"Ross SE, Guskiewicz KM, Yu B. Single-leg jump-landing stabilization times in subjects with functionally unstable ankles. Journal of Athletic Training 2005;40(4):298-304.",PMID 16404451,Primary experimental study,"10 FAI, 10 stable, 12 reliability subjects",Single-leg jump landing at 50-55% max jump height,Unloaded,Force platform,"Time to stabilization (AP, ML)",TTS from GRF range-of-variation window,TTS healthy 1.45 +/- 0.30 s vs FAI 1.98 +/- 0.81 s; SEM 0.15-0.26 s,Mixed design + reliability,ICC 0.65-0.79,TTS semantics: stabilization is defined over a sustained GRF band; supports sustained capture windows in E11,Single-leg; clinical populations; not transferable numerically,NO,Structure only
S21,"Wikstrom EA, Tillman MD, Chmielewski TL, Cauraugh JH, Borsa PA. Dynamic postural stability deficits in subjects with self-reported ankle instability. Medicine & Science in Sports & Exercise 2007;39(3):397-402.",PMID 17473764; DOI 10.1249/mss.0b013e31802d3460,Primary experimental study,"108 subjects (54 FAI, 54 stable)",Single-leg-hop stabilization,Unloaded,Force platform,DPSI and directional stability indices,Normalized RMS GRF fluctuation over 3 s post-impact,"Reported group means (e.g., composite DPSI stable 0.006 +/- 0.001 vs FAI 0.008 +/- 0.003)",Case-control,ICC 0.97-0.99 for several indices,Supports multi-component stability structure and the use of a post-impact window; no numerical import,Ankle-instability COU; single-leg,NO,Structure only
S22,"Prieto TE, Myklebust JB, Hoffmann RG, Lovett EG, Myklebust BM. Measures of postural steadiness: differences between healthy young and elderly adults. IEEE Transactions on Biomedical Engineering 1996;43(9):956-966.",PMID 9214811; DOI 10.1109/10.532130,Primary methodological study,Healthy young and elderly adults,Quiet standing,Unloaded,Force platform,Time- and frequency-domain postural steadiness measures (COP-based),Standardized COP/COM-based steadiness metrics,Normative differences; no single success threshold,Standardized measurement,Established metric set,Supports defining stable standing by physical stability measures rather than trace equality; E12 envelope calibration should use quiet-standing logic,Human COP; no simulation transfer values,NO,Informs RES-87 envelope structure
S23,"Hof AL, Gazendam MGJ, Sinke WE. The condition for dynamic stability. Journal of Biomechanics 2005;38(1):1-8.",PMID 15519333; DOI 10.1016/j.jbiomech.2004.03.025,Primary methodological study,Analytical / human balance,Dynamic stability condition,N/A,Theory + human balance,Extrapolated center of mass / capture-point condition,Stability requires the extrapolated COM to be inside the base of support,No numeric threshold,Analytical derivation,Widely replicated framework,"Supports requiring COM-in-support-hull margin for capture (E11) and treating capture as a dynamic condition, not vertical arrest",General balance theory; no task thresholds,NO,Structure only
S24,"ASME. V&V 40-2018: Assessing Credibility of Computational Modeling through Verification and Validation: Application to Medical Devices. American Society of Mechanical Engineers, 2018.",ASME V&V 40-2018; ISBN 9780791872048,Standard,Medical-device computational models (generalizable framework),Credibility assessment framework,N/A,V&V methodology,"Context of use, model risk, credibility factors",Credibility established through V&V activities commensurate with the context of use and the consequence of an incorrect decision,No thresholds; framework,Risk-informed credibility assessment,Framework not a quantitative method,Direct: our contract freezes a COU and a claim ceiling and separates verification from validation; medical-device risk thresholds are NOT imported,Written for medical devices; the standard itself states it is general enough for other disciplines,NO,V&V principle authority for SUCCESSOR_CONTEXT_OF_USE and SCIENTIFIC_CLAIM_CEILING
S25,"U.S. Food and Drug Administration. Assessing the Credibility of Computational Modeling and Simulation in Medical Device Submissions. Guidance for Industry and Food and Drug Administration Staff, November 2023.",FDA 2023 guidance; https://www.fda.gov/media/154985/download,Regulatory guidance,Medical device CM&S submissions,Credibility framework,N/A,V&V/credibility evidence categories,"Question of interest, context of use, model risk, credibility evidence",Credibility = trust in predictive capability for a context of use,No thresholds,Risk-informed framework building on ASME V&V 40,Nonbinding recommendations,Supports separating simulation qualification from validation and declaring what evidence a claim needs,Regulatory context; no numeric transfer,NO,Claim-ceiling logic
P01,"Loaded CMJ project. PROJECT_SCIENTIFIC_CONSTITUTION.md (repository canonical document, v1.0.0)",N/A (project internal authority),Project internal authority,Computational system,Project scientific rules,N/A,N/A,Project constitution,Internal scientific governance,N/A,Document,N/A,Governs the successor contract,"Internal, not peer-reviewed",NO,Internal authority
P02,"Loaded CMJ project. VVUQ_AND_QUALIFICATION_TAXONOMY.md (repository canonical document, v1.0.0)",N/A (project internal authority),Project internal authority,Computational system,Terminology governance,N/A,N/A,Verification/validation/qualification taxonomy,CODE_VERIFICATION / SOLUTION_VERIFICATION / MODEL_VALIDATION / CONTROL_QUALIFICATION / REPRODUCIBILITY,Landing peak <= 8 BW and penetration <= 0.010 m cited as project hard-rule examples,Document,N/A,Provides the qualification vocabulary and historical hard-rule candidates (L4-G4/G6),Internal,YES,RETAINED as candidate project thresholds subject to OD-04 re-approval
