ROW_TYPE,ROW_ID,ARTIFACT,DECISION_OR_CITATION,VALUE,UNITS,CLASSIFICATION,SOURCE_IDS,LOCATOR,SENSITIVITY_REQUIRED,VERIFICATION_STATUS,NOTES
SOURCE,S01,SOURCE_REGISTRY,de Leva P. Adjustments to Zatsiorsky-Seluyanov's segment inertia parameters. Journal of Biomechanics 1996;29(9):1223-1230.,10.1016/0021-9290(95)00178-6; PMID 8872282,—,SOURCE,—,"Adjusted male body-segment mass fractions, segment lengths, COM positions and radii of gyration referenced to joint centers",—,REVERIFIED_PRIMARY_TABLE,Tables 1-4 and the alternative-endpoint rows were read directly from the paper PDF during RES-95; Table 4 male values reproduced here as machine-readable inputs.
SOURCE,S02,SOURCE_REGISTRY,"Matsumoto Y, Ogihara N, Hanawa H, Kokubun T, Kanemura N. Novel multi-segment foot model incorporating plantar aponeurosis for detailed kinematic and kinetic analyses of the foot with application to gait studies. Frontiers in Bioengineering and Biotechnology 2022;10:894731.",10.3389/fbioe.2022.894731,—,SOURCE,—,"Three-segment foot (hindfoot/forefoot/phalanx) relative mass, relative COM and relative inertial tensor from CT",—,REVERIFIED_PRIMARY_TABLE,Table 3 read directly; relative masses 43.2/42.4/14.4 % and relative inertia scaling rule I = I_rel * m^(5/3).
SOURCE,S03,SOURCE_REGISTRY,"Drillis R, Contini R. Body segment parameters. New York University / DHEW report, 1966; reproduced in Winter DA, Biomechanics and Motor Control of Human Movement, Fig. 4.1 (body segment lengths as a fraction of stature H).",Report DHEW 1166-03 (1966); figure reproduced in Winter 2009 4th ed.,—,SOURCE,—,"General adult body segment length fractions of stature, including ankle joint height 0.039H, foot length 0.152H, foot breadth 0.055H",—,REVERIFIED_PRIMARY_FIGURE,"Figure 4.1 read directly during RES-95; used for ankle joint height only, where no joint-center-resolved de Leva value exists."
SOURCE,S04,SOURCE_REGISTRY,International Weightlifting Federation (IWF) Technical and Competition Rules; men's 20 kg Olympic bar specification.,IWF TCR (bar specification section),—,SOURCE,—,"20 kg bar, 2.200 m total length, 28 mm grip section, 50 mm x 415 mm sleeves, 1.310 m grip section",—,AUTHORITY_SYNCED,Geometry frozen from the Linear system authority; no uniform-rod representation may be called IWF geometry.
SOURCE,S05,SOURCE_REGISTRY,"Bongiovanni T, Rossi A, Genovesi F, Martera G, Puleo G, Orlandi C, Spedicato M, Iaia FM, Del Vescovo R, Gallo S, Cannataro R, Ripari P, Levi Micheli M, Cataldi S, Trecroci A. How do football playing positions differ in body composition? A first insight into white Italian Serie A and Serie B players. Journal of Functional Morphology and Kinesiology 2023;8(2):80.",10.3390/jfmk8020080; PMCID PMC10299074; PMID 37367244,—,SOURCE,—,"506 male professional Italian Serie A/B players; age 25.72 +/- 4.02 y, stature 183.72 +/- 5.86 cm, mass 79.91 +/- 6.31 kg, positional differences",—,REVERIFIED_PRIMARY_TABLE,"Abstract and Table 1 read directly; source is referred to as 'Campa et al.' in the Linear synchronization, corrected to Bongiovanni et al. here."
SOURCE,S06,SOURCE_REGISTRY,"Badby AJ, et al. Contemporary English Football League force-plate normative benchmarks for professional soccer players. Journal of Sports Sciences 2025.",10.1080/02640414.2025.2523671,—,SOURCE,—,139 professionals from seven clubs (184 +/- 7 cm; 81 +/- 9 kg); ~0.35 m unloaded CMJ and ~0.23 m countermovement depth on its method,—,AUTHORITY_SYNCED,Report/calibration anchor only; not a +20 kg direct SYSTEM_COM norm.
SOURCE,S07,SOURCE_REGISTRY,"Asimakidis ND, et al. Assessment of strength and power capacities in elite male soccer. Sports Medicine 2024.",10.1007/s40279-024-02071-8,—,SOURCE,—,Elite male soccer strength/power testing practice incl. CMJ; heterogeneous methods across 54 studies (unloaded means ~33.6-57.2 cm),—,AUTHORITY_SYNCED,Method heterogeneity is the reason no single elite +20 kg direct H2 gate is frozen.
SOURCE,S08,SOURCE_REGISTRY,"Yamauchi J, et al. Mechanical role of the metatarsophalangeal joint in human jumping. PLOS ONE 2022.",10.1371/journal.pone.0268634,—,SOURCE,—,Restricting MTP motion reduces CMJ height and net vertical impulse; toe-flexor strength correlates with jump performance,—,AUTHORITY_SYNCED,Basis for requiring an active bounded MTP channel in addition to a passive prior.
SOURCE,S09,SOURCE_REGISTRY,"Smith RE, et al. Selective loss of intrinsic foot muscle activity reduces MTP quasi-stiffness, ankle leverage and jump height (nerve-block study). Journal of Sport and Health Science 2023.",10.1016/j.jshs.2022.07.002,—,SOURCE,—,Intrinsic foot muscle contribution to MTP stiffness and jump height,—,AUTHORITY_SYNCED,Corroborates that a passive-only MTP is insufficient for a human-valid maximal-CMJ claim.
SOURCE,S10,SOURCE_REGISTRY,Dynamic predictive foot model for simulations of human gait (2024). PLOS Computational Biology.,10.1371/journal.pcbi.1012219,—,SOURCE,—,Gait-model passive foot/MTP compliance priors (including ~25 N m/rad and ~2 N m s/rad class values used as one engineering baseline),—,AUTHORITY_SYNCED,"The 25/2 pair is a gait-derived engineering prior, not a CMJ measurement; mandatory sensitivity including zero-passive."
SOURCE,S11,SOURCE_REGISTRY,"Eythorsdottir I, et al. The battle of the equations: a systematic review of jump height calculations using force platforms. Sports Medicine 2024.",10.1007/s40279-024-02098-x; PMID 39425876,—,SOURCE,—,Jump-height equations and processing choices; equation choice can change jump height by up to ~15 cm on the same jump,—,AUTHORITY_SYNCED,Method-matched comparison is mandatory before any elite numeric H2 gate.
